Nf3,Nf6, Ne5,Be7, O-O,O-O, Nxc4,b5, Ne5,Nd5, e4,Nxc3, bxc3,{White forfeits by disconnection} 0-1
Be3,Qb7, Nxe6,fxe6, Bxc5,Qxa8, Bxf8,Kxf8, Bg4,Qc6, Qf3+,Kg8, Qh3,{White forfeits by disconnection} 0-1
Bb5+,Bd7, Bxd7+,Nxd7, Nxc5,Qxc5, Qxd4,Qxd4, Nxd4,e5, Nf5,O-O-O, Nd6+,{White forfeits by disconnection} 0-1
Bg2,d5, Nf3,c5, d3,Nc6, Nbd2,Nf6, e4,dxe4, Nxe4,Nxe4, dxe4,{White forfeits by disconnection} 0-1
Ngf3,Nc6, Ng5,Ke7, Nf7,Rg8, h4,Be6, Bxe6,Kxe6, Ng5+,Ke7, b3,{White forfeits by disconnection} 0-1
Qxg4,d6, e6,Bxe6, Qe4,Nc6, d4,Nb4, Nf3,O-O, Be2,Bf5, Qxb7,{White forfeits by disconnection} 0-1
O-O,e6, c4,Bc5, cxd5,Nxd5, Qb3,Bb6, e4,Nf6, Qa3,a6, Nbd2,{White forfeits by disconnection} 0-1
e3,Nc6, Bg2,Nge7, Bxc6,Nxc6, Nf3,e4, d4,Be7, d5,Nb4, Ne5,{White forfeits by disconnection} 0-1
cxd5,exd5, e3,Be7, Bxf6,Nxf6, Bd3,O-O, Nbd2,Bg4, O-O,Bxf3, Nxf3,Re8  {White forfeits by disconnection} 0-1
Qd3,Qc7, g5,Nh7, e4,O-O-O, exd5,exd5, Re1,Bd6, f4,f6, gxf6,{White forfeits by disconnection} 0-1
Nc3,Nc6, Nxd5,Nxd5, Qxd5,e6, Qd6,Bf8, Qf4,Bg7, Bb5,O-O, O-O,Rc8  {White forfeits by disconnection} 0-1
e4,e5, Nd5,O-O, Nxf6+,Bxf6, c4,Bg7, Qe2,d6, Qe3,Bg4, Ng5,{White forfeits by disconnection} 0-1
Bb5+,Bd7, Bxd7+,Nxd7, O-O,Ngf6, c3,b6, dxc5,bxc5, c4,a5, g4,{White forfeits by disconnection} 0-1
Qb3,b5, c5,Nbd7, a4,Rb8, axb5,axb5, Ra7,e5, Bb1,exd4, exd4,{White forfeits by disconnection} 0-1
Bb5,Be7, O-O,O-O, Nc3,Na5, Qa4,Bxb5, Qxb5,Nc4, b3,Na5, Bb2,{White forfeits by disconnection} 0-1
d4,exd4, exd4,Bb6, Re1+,Ne7, Bg5,O-O, Bxf6,gxf6, Qd3,Ng6, Nc3,{White forfeits by disconnection} 0-1
