Bf1,Kh8, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Qg4,e6, Nf3,{Black resigns} 1-0
e4,a6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bc5, b4,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bc5, b4,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qxg5, Nxg5,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e4,a6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
Nxd4,Bxd4, dxe6,fxe6, Nf3,Bc5, b4,Bxf2+, Kxf2,a5, b5,c5, Bh6,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bc5, b4,{Black resigns} 1-0
Kf1,h6, Bh4,Kg6, Bd3+,Kg7, Rg1+,Kf8, Bxf6,Bxh2, Rg7,Re3, Be4,{Black resigns} 1-0
O-O-O,Nb3+, Kb2,Rxd1, Rxd1,Nd4, Nxe5,f6, gxf6,gxf6, Bxd4,fxe5, Qf5+,{Black resigns} 1-0
Nxd5,Qf5, Qe3+,Be7, Nxe7,Qe6, Nc7+,Kxe7, Nxe6,Bxe6, f5,Rbd8, Bc4,{Black resigns} 1-0
a5,Qb5, c4,Qa6, Nxc5,Nxe4, Nxa6,Nxd2, Qxd2,bxa6, Rfe1,e6, Ne5,{Black resigns} 1-0
b3,Bc6, Ng4,Kg7, Qe3,h5, Qh6+,Kg8, Nf6+,Bxf6, exf6,Bxf3, Qg7#,{Black checkmated} 1-0
exf6,Qxf6, Ne4,Qf5, Ng3,Qg6, Ne5,Qf6, Nxd7,Qg6, Nxf8,Bxf8, Qc2,{Black resigns} 1-0
e4,a6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bc5, b4,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qxg5, Nxg5,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Qf4, Bxf4,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bc5, b4,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qd8, Bxd8,{Black resigns} 1-0
Bf1,Kh8, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Bh6,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qd8, Bxd8,{Black resigns} 1-0
Bg5,Re5, Bf6,Re8, Qh4,Qh5, Qxh5,gxh5, Rxa2,a6, b3,Rc8, c4,{Black resigns} 1-0
d3,Bb5, a4,Nxe4, Ngxe4,d5, Nxc5,d4, Ne2,e5, Ne4,f5, N4g3,{Black resigns} 1-0
Re1,Qf4, Bh5,Qxf2+, Qxf2,Be6, Ng5,g6, Nxe6,fxe6, Bg4,Kd7, Bxe6+,{Black resigns} 1-0
Kd1,Kd3, Kc1,Kc4, g6,Kd4, g7,Bd5, g8=Q,Bxg8, a8=Q,Bd5, Qd8,{Black resigns} 1-0
e4,Qe7, e5,Nxe5, dxe5,Rac8, exf6,gxf6, Qd2,h5, Qh6,Rcd8, Bxf6,{Black resigns} 1-0
Bb3,Kf8, Kd5,Ke7, Ba4,Kf7, Kxd6,Kf8, Ke6,Kg8, Kf6,Kf8, Kxg6,{Black resigns} 1-0
Ke2,Rxa1, Rg3,axb6, Bg7+,Kg8, Bxf6+,Kf7, Bxd8,Rxd8, Qh6,Rf8, Qg7+,{Black resigns} 1-0
O-O,O-O, Bg5,Rab8, exd5,cxd5, Qh4,Rxb2, Nxd5,Qe5, Nxf6+,gxf6, Qxh7#,{Black checkmated} 1-0
